network,comparison,source_peak_us,target_peak_us,peak_reduction_us,peak_reduction_percent,source_Qss,target_Qss,Qss_reduction,Qss_reduction_percent
CH,original->greedy,327,327,0,0.0,1767529,1767529,0,0.0
CH,original->peak,327,327,0,0.0,1767529,1767529,0,0.0
CH,original->balanced,327,327,0,0.0,1767529,1767529,0,0.0
CH,peak->balanced,327,327,0,0.0,1767529,1767529,0,0.0
CH,peak->variance,327,327,0,0.0,1767529,1767529,0,0.0
DA,original->greedy,572,532,40,6.993006993006993,1583871,1368561,215310,13.593910110103662
DA,original->peak,572,407,165,28.846153846153843,1583871,1288061,295810,18.676394731641654
DA,original->balanced,572,407,165,28.846153846153843,1583871,1288061,295810,18.676394731641654
DA,peak->balanced,407,407,0,0.0,1288061,1288061,0,0.0
DA,peak->variance,407,407,0,0.0,1288061,1288061,0,0.0
DK,original->greedy,859,657,202,23.51571594877765,17952297,17351989,600308,3.343906353599208
DK,original->peak,859,532,327,38.06752037252619,17952297,17384489,567808,3.1628710242483176
DK,original->balanced,859,532,327,38.06752037252619,17952297,17384489,567808,3.1628710242483176
DK,peak->balanced,532,532,0,0.0,17384489,17384489,0,0.0
DK,peak->variance,532,657,-125,-23.49624060150376,17384489,16868739,515750,2.9667251076519996
EP,original->greedy,125,125,0,0.0,218750,218750,0,0.0
EP,original->peak,125,125,0,0.0,218750,218750,0,0.0
EP,original->balanced,125,125,0,0.0,218750,218750,0,0.0
EP,peak->balanced,125,125,0,0.0,218750,218750,0,0.0
EP,peak->variance,125,125,0,0.0,218750,218750,0,0.0
GL,original->greedy,859,657,202,23.51571594877765,26569718,21275438,5294280,19.925992439964926
GL,original->peak,859,532,327,38.06752037252619,26569718,20981188,5588530,21.033456207551772
GL,original->balanced,859,532,327,38.06752037252619,26569718,20981188,5588530,21.033456207551772
GL,peak->balanced,532,532,0,0.0,20981188,20981188,0,0.0
GL,peak->variance,532,657,-125,-23.49624060150376,20981188,20770438,210750,1.0044712434777288
IC,original->greedy,859,657,202,23.51571594877765,51248091,45189863,6058228,11.821373014655316
IC,original->peak,859,572,287,33.41094295692666,51248091,44001873,7246218,14.1394886299277
IC,original->balanced,859,572,287,33.41094295692666,51248091,44001873,7246218,14.1394886299277
IC,peak->balanced,572,572,0,0.0,44001873,44001873,0,0.0
IC,peak->variance,572,657,-85,-14.86013986013986,44001873,42584863,1417010,3.220340188700604
LC,original->greedy,532,532,0,0.0,1176602,1176602,0,0.0
LC,original->peak,532,407,125,23.49624060150376,1176602,1110102,66500,5.651868686267744
LC,original->balanced,532,407,125,23.49624060150376,1176602,1110102,66500,5.651868686267744
LC,peak->balanced,407,407,0,0.0,1110102,1110102,0,0.0
LC,peak->variance,407,532,-125,-30.71253071253071,1110102,1055602,54500,4.909458770455327
PT,original->greedy,492,327,165,33.53658536585366,802118,694208,107910,13.453132830830377
PT,original->peak,492,327,165,33.53658536585366,802118,694208,107910,13.453132830830377
PT,original->balanced,492,327,165,33.53658536585366,802118,694208,107910,13.453132830830377
PT,peak->balanced,327,327,0,0.0,694208,694208,0,0.0
PT,peak->variance,327,327,0,0.0,694208,694208,0,0.0
SU,original->greedy,165,165,0,0.0,245975,245975,0,0.0
SU,original->peak,165,165,0,0.0,245975,245975,0,0.0
SU,original->balanced,165,165,0,0.0,245975,245975,0,0.0
SU,peak->balanced,165,165,0,0.0,245975,245975,0,0.0
SU,peak->variance,165,165,0,0.0,245975,245975,0,0.0
