network,Qss,max_release_count,mode,peak_budget_us,startup_Qss,startup_peak_us,steady_peak_us,violation_count,violation_excess,objective_mode,runtime_seconds,restart_attempts,assignment_sha256
CH,1767529,1,balanced,344,170384,247,327,0,0,balanced,0.311921300002723,1,963e68ce88e933b10620fabff2c16091fceb05752c2c9d8e3091e1df66a90839
CH,1767529,1,greedy,,261688,327,327,0,0,peak,0.005067699999926845,,80709e42a4605f78f6d7791b2dfce6a9835c8dfe2158aca60f484e0ef642a1d1
CH,1767529,1,original,,386688,327,327,0,0,peak,8.850000085658394e-05,,02edb1c9c292cce5fde2f6df5f71b2c881b910ec87989bba2d7ba2a13daa2bbd
CH,1767529,1,peak,,170384,247,327,0,0,peak,0.22896469999977853,20,963e68ce88e933b10620fabff2c16091fceb05752c2c9d8e3091e1df66a90839
CH,1767529,1,variance,,170384,247,327,0,0,variance,2.074836100000539,20,963e68ce88e933b10620fabff2c16091fceb05752c2c9d8e3091e1df66a90839
DA,1288061,2,balanced,428,575537,407,407,0,0,balanced,0.6500755000015488,1,84fdf6f22da797f07ab2fd432455e263fdbba19135e6150dff1bb23f91dfbbfd
DA,1368561,2,greedy,,532687,407,532,0,0,peak,0.008485400001518428,,89b597ee51ec0cae3857703ac967eaedbc16f88d77cd7bbbd98eb39b5187daf5
DA,1583871,2,original,,1552621,572,572,0,0,peak,6.239999856916256e-05,,d5f2893efbafd828897b9b55ba6e2a00b82fb0841b2d11714879087331211868
DA,1288061,2,peak,,575537,407,407,0,0,peak,0.6022355999994033,30,84fdf6f22da797f07ab2fd432455e263fdbba19135e6150dff1bb23f91dfbbfd
DA,1288061,2,variance,,575537,407,407,0,0,variance,1.8463046999968356,30,84fdf6f22da797f07ab2fd432455e263fdbba19135e6150dff1bb23f91dfbbfd
DK,17384489,3,balanced,559,1669400,532,532,0,0,balanced,9.100143900002877,1,89a6c56544e6a385c7b44b46b6596ea6d45b3c9fb94ff93409ef4a60094aee16
