network,assignment_sha256,source,refinement_pass,peak_us,Qss,CPU_proxy_exact,main_function_count
CH,d774da37dbe42ae2d4e80b1ce87bd7c266076afda565de150436813cf912d5a6,refinement_00_epsilon_37,0,327,1767529,1094/1,4
CH,818984c1c65bada98e8ffa71262c8e8e3b1e3ebcc08a48cc3741ba39fdc17468,refinement_00_epsilon_25,0,327,1923779,944/1,4
CH,25c72ec093db03091c7e8f52f3a29c91fcd378d8b4cdbb5f0166abd295859a22,refinement_00_epsilon_03,0,327,2548779,674/1,4
CH,cd666c20bbd0116573ffd08fd7b128c85fef545d42b8e975be460b3f00762957,initial_cpu_anchor,-1,327,2861279,654/1,3
DA,3a16f8fa55bdcade854a7e301088c7b966d6ddbc4e30351d7e3ec27d1e248949,refinement_00_can,0,407,1288061,2180/1,5
DA,02a6aa0d9a6a19e5f06af522ed173c5dd0e10c0dc95ded418a1ab60d4b6a4904,refinement_02_epsilon_30,2,407,1329311,2020/1,5
DA,8b12f644aec1cc35732050f966bc477114befa1ffc92cae2abf5316fe28ea4a6,refinement_00_epsilon_28,0,407,1350561,1990/1,5
DA,e9e949941e2bc2d34aa561d37289ca409997541d442e4fc2cea14bbc9a821438,refinement_01_epsilon_24,1,407,1401811,1830/1,5
DA,19677cd4a4cd5fbd1739d6f77f68aa9855dea8ffaac3062820f278226a988a31,refinement_01_epsilon_16,1,407,1526061,1790/1,5
DA,accee125d6c42541ee9972c8589fd2d0e68fed2f6c3afca9c7755525feb1b5b5,refinement_01_epsilon_14,1,407,1557311,1740/1,5
DA,cd2e19a3d5a118a554cbf5da25e8d8d9e56cf16d612506f6efe7028861017467,refinement_00_epsilon_11,0,407,1588561,1700/1,5
DA,98b063c666513d70e7e4996f419a8236e66f9650d5c036b61605181b32ded831,refinement_02_epsilon_08,2,407,1651061,1650/1,5
DA,033aaa43edb19cde312b286554504e9507fa55762bcb947deebbf840f4f77dd5,refinement_00_epsilon_04,0,407,1682311,1600/1,5
DA,fba1a5820b5b515cf8e9848485113202a2e0549d8074e5fbeda47e06000e24d1,refinement_00_cpu,0,415,1723561,1550/1,5
DK,fcd7505208915cd9cbe91949b55861cee4eca1c968f393e112004fd548d9ffb4,refinement_01_epsilon_33,1,2699,23801955,1928/1,6
DK,d98b95eee5fae66fbcede6ee496cf9d89f0a48d2b360cc933f24c07cdb19c43a,refinement_00_epsilon_31,0,2699,24114455,1848/1,6
DK,c4f2fa411095dad57b54a42aa17cba28b65759925380d9989e8019b24bf0c0bf,refinement_01_epsilon_27,1,2699,24739455,1728/1,6
DK,594a71994b17c22dd6bad437d192498e9bcb8b6b668f96cda30c2da94244dc10,refinement_00_epsilon_27,0,2699,24839455,1688/1,7
DK,92f84f8ea902892fc2d70b53f1bea24639b6d338e083cf8b640ae98fe91afd98,refinement_01_epsilon_25,1,2699,25356955,1648/1,7
DK,11275b701bb12a23ccda00334061cad4e194add8b82f1861d8d9baa08ed8bb56,refinement_01_epsilon_24,1,2699,25662055,1618/1,6
DK,47cb8fffcd01af78d2b9983d3f2348aab376afcff4a8fc41977d43a7f9c7c69f,refinement_01_epsilon_23,1,2699,25806555,1588/1,7
DK,b74fb71144e9bf974a1eb9f3e30e4fb39df65f98398e6d7d9ab747ee1f2fc262,refinement_02_epsilon_28,2,2699,25879055,1568/1,6
DK,d1a03c2d12bb96cdbe8f4fd46bbcb3ab7d3617e58d912c48d2fcb38fa7104438,refinement_01_epsilon_22,1,2699,25999055,1538/1,7
DK,2e47584fae0ad6a9b5a9948ba91c6d040e8fa82ce34e2706aafce84dda866806,refinement_01_epsilon_21,1,2824,26275805,1508/1,7
DK,e1dc8fad634f5dd1bc1e3419af9afed80cc2d3981eddc3aff182b520dbca1572,refinement_02_epsilon_25,2,2699,26624055,1488/1,7
DK,ea92a6a1594302e47abb0c148f8ce187d9270bae9c5a7be0391257c802b2645c,refinement_00_epsilon_20,0,2699,26672055,1478/1,6
